"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"1",1,"Jahmyr Gibbs",DET,"RB1","6","5 out of 5","1 out of 5","5 out of 5 stars","0"
"2",1,"Bijan Robinson",ATL,"RB2","11","5 out of 5","1 out of 5","2 out of 5 stars","0"
"3",1,"Ja'Marr Chase",CIN,"WR1","6","5 out of 5","1 out of 5","4 out of 5 stars","0"
"4",1,"Puka Nacua",LAR,"WR2","11","5 out of 5","2 out of 5","1 out of 5 stars","0"
"5",1,"Jaxon Smith-Njigba",SEA,"WR3","11","5 out of 5","2 out of 5","3 out of 5 stars","+2"
"6",1,"Amon-Ra St. Brown",DET,"WR4","6","5 out of 5","1 out of 5","4 out of 5 stars","+2"
"7",1,"Christian McCaffrey",SF,"RB3","8","4 out of 5","4 out of 5","2 out of 5 stars","-2"
"8",1,"Jonathan Taylor",IND,"RB4","13","4 out of 5","3 out of 5","4 out of 5 stars","-2"
"9",1,"CeeDee Lamb",DAL,"WR5","14","4 out of 5","2 out of 5","2 out of 5 stars","+1"
"10",1,"James Cook III",BUF,"RB5","7","5 out of 5","2 out of 5","2 out of 5 stars","-1"
"11",2,"Justin Jefferson",MIN,"WR6","6","4 out of 5","2 out of 5","5 out of 5 stars","+1"
"12",2,"Chase Brown",CIN,"RB6","6","5 out of 5","2 out of 5","2 out of 5 stars","+3"
"13",2,"Drake London",ATL,"WR7","11","4 out of 5","3 out of 5","3 out of 5 stars","+7"
"14",2,"Saquon Barkley",PHI,"RB7","10","4 out of 5","3 out of 5","4 out of 5 stars","-3"
"15",2,"A.J. Brown",NE,"WR8","11","5 out of 5","2 out of 5","2 out of 5 stars","+4"
"16",2,"De'Von Achane",MIA,"RB8","6","4 out of 5","4 out of 5","3 out of 5 stars","-3"
"17",2,"Brock Bowers",LV,"TE1","13","5 out of 5","1 out of 5","3 out of 5 stars","+5"
"18",2,"Nico Collins",HOU,"WR9","8","5 out of 5","2 out of 5","3 out of 5 stars","+6"
"19",2,"Omarion Hampton",LAC,"RB9","7","5 out of 5","2 out of 5","3 out of 5 stars","-3"
"20",2,"Kenneth Walker III",KC,"RB10","5","5 out of 5","4 out of 5","3 out of 5 stars","-3"
"21",2,"Derrick Henry",BAL,"RB11","13","4 out of 5","2 out of 5","3 out of 5 stars","-3"
"22",2,"Ashton Jeanty",LV,"RB12","13","4 out of 5","4 out of 5","2 out of 5 stars","-8"
"23",2,"George Pickens",DAL,"WR10","14","4 out of 5","3 out of 5","2 out of 5 stars","+2"
"24",2,"Chris Olave",NO,"WR11","8","4 out of 5","4 out of 5","3 out of 5 stars","+3"
"25",3,"Trey McBride",ARI,"TE2","14","4 out of 5","2 out of 5","2 out of 5 stars","-2"
"26",3,"Malik Nabers",NYG,"WR12","8","4 out of 5","4 out of 5","4 out of 5 stars","+3"
"AD",3
"27",3,"Josh Allen",BUF,"QB1","7","5 out of 5","1 out of 5","3 out of 5 stars","-6"
"28",3,"DeVonta Smith",PHI,"WR13","10","4 out of 5","2 out of 5","4 out of 5 stars","+4"
"29",3,"Rashee Rice",KC,"WR14","5","4 out of 5","4 out of 5","2 out of 5 stars","+4"
"30",3,"Zay Flowers",BAL,"WR15","13","4 out of 5","2 out of 5","4 out of 5 stars","+5"
"31",3,"Kyren Williams",LAR,"RB13","11","4 out of 5","2 out of 5","5 out of 5 stars","-3"
"32",3,"Tee Higgins",CIN,"WR16","6","5 out of 5","2 out of 5","4 out of 5 stars","+4"
"33",3,"Javonte Williams",DAL,"RB14","14","4 out of 5","4 out of 5","4 out of 5 stars","-2"
"34",3,"Breece Hall",NYJ,"RB15","13","4 out of 5","4 out of 5","3 out of 5 stars","0"
"35",3,"Lamar Jackson",BAL,"QB2","13","4 out of 5","4 out of 5","3 out of 5 stars","+5"
"36",3,"Tetairoa McMillan",CAR,"WR17","5","4 out of 5","4 out of 5","2 out of 5 stars","+3"
"37",3,"Garrett Wilson",NYJ,"WR18","13","4 out of 5","4 out of 5","4 out of 5 stars","+7"
"38",3,"Jaylen Waddle",DEN,"WR19","10","4 out of 5","3 out of 5","2 out of 5 stars","+8"
"39",3,"Ladd McConkey",LAC,"WR20","7","4 out of 5","4 out of 5","2 out of 5 stars","+4"
"40",3,"Colston Loveland",CHI,"TE3","10","5 out of 5","2 out of 5","2 out of 5 stars","+1"
"41",4,"Josh Jacobs",GB,"RB16","11","4 out of 5","3 out of 5","4 out of 5 stars","-11"
"42",4,"Emeka Egbuka",TB,"WR21","10","5 out of 5","3 out of 5","4 out of 5 stars","0"
"43",4,"Jeremiyah Love",ARI,"RB17","14","5 out of 5","3 out of 5","2 out of 5 stars","-17"
"44",4,"Drake Maye",NE,"QB3","11","5 out of 5","2 out of 5","2 out of 5 stars","+8"
"45",4,"Travis Etienne Jr.",NO,"RB18","8","4 out of 5","4 out of 5","3 out of 5 stars","-7"
